,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
75,"RT @pennystockpickz: $medh @MedX_Holdings filings coming per CEO 

Double bottom on chart nere previous heavy accumulation.  

$aagc $cype…",FALSE,0,NA,5/28/2018 14:15,FALSE,NA,1.0011E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",brotherchris08,19,TRUE,FALSE,NA,NA
76,"RT @pennystockpickz: $medh @MedX_Holdings filings coming per CEO 

Double bottom on chart nere previous heavy accumulation.  

$aagc $cype…",FALSE,0,NA,5/28/2018 14:14,FALSE,NA,1.0011E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",shannon22141720,19,TRUE,FALSE,NA,NA
77,"RT @pennystockpickz: $medh @MedX_Holdings filings coming per CEO 

Double bottom on chart nere previous heavy accumulation.  

$aagc $cype…",FALSE,0,NA,5/28/2018 14:12,FALSE,NA,1.0011E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",reemwiththestok,19,TRUE,FALSE,NA,NA
78,"RT @pennystockpickz: $medh @MedX_Holdings filings coming per CEO 

Double bottom on chart nere previous heavy accumulation.  

$aagc $cype…",FALSE,0,NA,5/28/2018 14:11,FALSE,NA,1.0011E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Cryptomomos,19,TRUE,FALSE,NA,NA
79,"RT @pennystockpickz: $medh @MedX_Holdings filings coming per CEO 

Double bottom on chart nere previous heavy accumulation.  

$aagc $cype…",FALSE,0,NA,5/28/2018 14:08,FALSE,NA,1.0011E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",poisin_preya,19,TRUE,FALSE,NA,NA
80,"$medh @MedX_Holdings filings coming per CEO 

Double bottom on chart nere previous heavy accumulation.  

$aagc… https://t.co/cfHjHcXsjC",FALSE,20,NA,5/28/2018 14:07,TRUE,NA,1.0011E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pennystockpickz,19,FALSE,FALSE,NA,NA
81,@Wilbur31345 wow. U are an $appl hater. Bold predictions. Right for minutes. Seconds. Then. It goes up. Bottom left to top right.,FALSE,0,NA,5/28/2018 11:41,FALSE,NA,1.00107E+18,NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",barrymick,0,FALSE,FALSE,NA,NA
82,Compare the #equity #performance of #Apple $appl #Facebook $fb #Amazon $amzn #Microsoft $MSFT #Alphabet $GOOGL agai… https://t.co/VcCqf6jMLm,FALSE,1,NA,5/28/2018 11:41,TRUE,NA,1.00107E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HuteauThierry,0,FALSE,FALSE,NA,NA
83,"RT @predictionmonk: It's #SundayMorning and we have an #AI-based prediction for the #stockmarket on Tuesday.

Yes,… https://t.co/6yewFU3wc2",FALSE,0,NA,5/27/2018 17:09,TRUE,NA,1.00079E+18,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",ZuzuDotAI,0,FALSE,FALSE,NA,NA
84,"It's #SundayMorning and we have an #AI-based prediction for the #stockmarket on Tuesday.

Yes, Tuesday.

(… https://t.co/CvnChKNrmc",FALSE,1,NA,5/27/2018 17:08,TRUE,NA,1.00079E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",predictionmonk,0,FALSE,FALSE,NA,NA
85,"RT @PENNIEStoSTACKS: $CMGO Possible $20,000,000 to $280,000,000 settlement May 31
https://t.co/FuBOAFESEs 
That may sound excessive, but U.…",FALSE,0,NA,5/27/2018 11:27,FALSE,NA,1.0007E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Jordan_Thorburn,4,TRUE,FALSE,NA,NA
86,"RT @PENNIEStoSTACKS: $CMGO Possible $20,000,000 to $280,000,000 settlement May 31
https://t.co/FuBOAFESEs 
That may sound excessive, but U.…",FALSE,0,NA,5/27/2018 4:02,FALSE,NA,1.00059E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",otcbillionaire,4,TRUE,FALSE,NA,NA
87,"RT @PENNIEStoSTACKS: $CMGO Possible $20,000,000 to $280,000,000 settlement May 31
https://t.co/FuBOAFESEs 
That may sound excessive, but U.…",FALSE,0,NA,5/27/2018 1:51,FALSE,NA,1.00056E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tiffanysbrown3,4,TRUE,FALSE,NA,NA
88,"$CMGO Possible $20,000,000 to $280,000,000 settlement May 31
https://t.co/FuBOAFESEs 
That may sound excessive, but… https://t.co/2YWEob3qf3",FALSE,6,NA,5/27/2018 0:35,TRUE,NA,1.00054E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PENNIEStoSTACKS,4,FALSE,FALSE,NA,NA
89,"Fun fact: If you had invested $1000 in $APPL in 2014 (4 years ago), today would be: $2440. If you had invested in… https://t.co/LGS7WgFFs1",FALSE,5,NA,5/26/2018 22:55,TRUE,NA,1.00051E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CamachoCrypto,0,FALSE,FALSE,NA,NA
90,"Manage your portfolio on #iPhone. Full P&amp;L overview incl. dividends and fees.
$APPL $FB $WMT #DAX #stocks @FlyRts

https://t.co/gvX4977ffI",FALSE,0,NA,5/26/2018 22:48,FALSE,NA,1.00051E+18,NA,"<a href=""https://twitter.com/bitcommander"" rel=""nofollow"">tweetliker_bit</a>",bitcommander,0,FALSE,FALSE,NA,NA
91,Great question Melissa. I know for a fact that several whales were loading in the 0023-0026 range so IMO I believe… https://t.co/164OjNQCuX,FALSE,2,NA,5/26/2018 16:40,TRUE,NA,1.00042E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",Vipervenom1981,2,FALSE,FALSE,NA,NA
92,"#legalizedgambling is going to catapult $bysd into copper . And then on to a #uplist 
$siri $kshb $appl $amzn $ldsr… https://t.co/NdfiGwSYFZ",FALSE,1,NA,5/26/2018 16:32,TRUE,NA,1.00041E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",Vipervenom1981,0,FALSE,FALSE,NA,NA
93,"price prediction ($QQQ) for Tuesday (May 29, 2018)

I built an #AI-lite model to predict the daily prices of the… https://t.co/0z6glaciyi",FALSE,5,NA,5/26/2018 3:02,TRUE,NA,1.00021E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",predictionmonk,1,FALSE,FALSE,NA,NA
94,"RT @PSTClub1: PTCers  $ARYC will produce a lot of Millionaires, Will you be one of them? <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0><ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>
#pennystocks $coho $appl $JBZY $SPCL $VAPE $VA…",FALSE,0,NA,5/26/2018 1:39,FALSE,NA,1.00019E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PSTClub1,1,TRUE,FALSE,NA,NA
95,"RT @PSTClub1: <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>WOW<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> The allergy test kits are rolling in Grab theses $ARYC cheap share before its to late! 
#pennystocks $coho $appl $JBZY…",FALSE,0,NA,5/26/2018 0:46,FALSE,NA,1.00018E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RichRayDay,1,TRUE,FALSE,NA,NA
96,"RT @PSTClub1: <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>WOW<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> Grab theses cheap share of $ARYC before its to late! You wont regret it <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>
#pennystocks $coho $appl $JBZY $SPCL $VAPE $V…",FALSE,0,NA,5/26/2018 0:46,FALSE,NA,1.00018E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RichRayDay,1,TRUE,FALSE,NA,NA
97,"RT @PSTClub1: <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>WOW<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> Grab theses cheap share of $ARYC before its to late! You wont regret it <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>
#pennystocks $coho $appl $JBZY $SPCL $VAPE $V…",FALSE,0,NA,5/26/2018 0:11,FALSE,NA,1.00017E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",M333komail,1,TRUE,FALSE,NA,NA
98,"PTCers  $ARYC will produce a lot of Millionaires, Will you be one of them? <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0><ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>
#pennystocks $coho $appl $JBZY $SPCL… https://t.co/MTIxbDAyBx",FALSE,8,NA,5/25/2018 22:29,TRUE,NA,1.00014E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PSTClub1,1,FALSE,FALSE,NA,NA
99,"<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>THIS IS HUGE<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> $ARYC is going to <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>EXPLODED<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>
#pennystocks $coho $appl $JBZY $SPCL $VAPE $VATE $AMFE $AXXA $FNMA https://t.co/Eco4G5x0JD",FALSE,4,NA,5/25/2018 22:23,FALSE,NA,1.00014E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PSTClub1,1,FALSE,FALSE,NA,NA
100,<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>BAM<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> Get the word out $ARYC is going to <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>Explode <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>                         Grab these cheap shares before its to l… https://t.co/oQNLGuzDuY,FALSE,4,NA,5/25/2018 22:21,TRUE,NA,1.00014E+18,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",PSTClub1,1,FALSE,FALSE,NA,NA
101,<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>BAM<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> Get the word out $ARYC is going to <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>Explode <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>                         Grab these cheap shares before its to l… https://t.co/2mFglkPrFo,FALSE,1,NA,5/25/2018 22:21,TRUE,NA,1.00014E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PSTClub1,1,FALSE,FALSE,NA,NA
102,"<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>BOOM<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> The allergy test kits are rolling in Grab theses $ARYC cheap share before its to late! 
#pennystocks $coho… https://t.co/ABitk7q65V",FALSE,3,NA,5/25/2018 22:19,TRUE,NA,1.00014E+18,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",PSTClub1,1,FALSE,FALSE,NA,NA
103,"<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>BOOM<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> The allergy test kits are rolling in Grab theses $ARYC cheap share before its to late! 
#pennystocks $coho… https://t.co/VYoZ9WdH21",FALSE,1,NA,5/25/2018 22:19,TRUE,NA,1.00014E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PSTClub1,1,FALSE,FALSE,NA,NA
104,"<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>WOW<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> The allergy test kits are rolling in Grab theses $ARYC cheap share before its to late! <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5><ed><U+00A0><U+00BD><ed><U+00B2><U+00A5><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0>
#pennystocks… https://t.co/oNnsjitGrl",FALSE,3,NA,5/25/2018 22:19,TRUE,NA,1.00014E+18,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",PSTClub1,3,FALSE,FALSE,NA,NA
105,"<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>WOW<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> The allergy test kits are rolling in Grab theses $ARYC cheap share before its to late! <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5><ed><U+00A0><U+00BD><ed><U+00B2><U+00A5><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0>
#pennystocks… https://t.co/OwkbYfyzux",FALSE,1,NA,5/25/2018 22:18,TRUE,NA,1.00014E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PSTClub1,0,FALSE,FALSE,NA,NA
106,"<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>WOW<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> The allergy test kits are rolling in Grab theses $ARYC cheap share before its to late! 
#pennystocks $coho… https://t.co/d2glhE4tIT",FALSE,1,NA,5/25/2018 22:18,TRUE,NA,1.00014E+18,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",PSTClub1,0,FALSE,FALSE,NA,NA
107,"<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>WOW<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> The allergy test kits are rolling in Grab theses $ARYC cheap share before its to late! 
#pennystocks $coho… https://t.co/vMFPk4ZCFl",FALSE,1,NA,5/25/2018 22:18,TRUE,NA,1.00014E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PSTClub1,0,FALSE,FALSE,NA,NA
108,"<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>WOW<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> The allergy test kits are rolling in Grab theses $ARYC cheap share before its to late! 
#pennystocks $coho… https://t.co/HH5qpeVb62",FALSE,1,NA,5/25/2018 22:15,TRUE,NA,1.00014E+18,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",PSTClub1,0,FALSE,FALSE,NA,NA
109,"<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>WOW<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> The allergy test kits are rolling in Grab theses $ARYC cheap share before its to late! 
#pennystocks $coho… https://t.co/1xrzbqhfsw",FALSE,1,NA,5/25/2018 22:15,TRUE,NA,1.00014E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PSTClub1,0,FALSE,FALSE,NA,NA
110,"<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>WOW<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> Grab theses cheap share of $ARYC before its to late! You wont regret it <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>
#pennystocks $coho $appl $JBZY… https://t.co/IvpMLBrUlO",FALSE,2,NA,5/25/2018 22:14,TRUE,NA,1.00014E+18,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",PSTClub1,1,FALSE,FALSE,NA,NA
111,"<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>WOW<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> Grab theses cheap share of $ARYC before its to late! You wont regret it <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>
#pennystocks $coho $appl $JBZY… https://t.co/yvz5MZM0cF",FALSE,3,NA,5/25/2018 22:14,TRUE,NA,1.00014E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PSTClub1,1,FALSE,FALSE,NA,NA
112,"<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>WOW<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> The allergy test kits are rolling in Grab theses $ARYC cheap share before its to late! 
#pennystocks $coho… https://t.co/qYFxG9aM07",FALSE,3,NA,5/25/2018 22:13,TRUE,NA,1.00014E+18,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",PSTClub1,1,FALSE,FALSE,NA,NA
113,"<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>WOW<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> The allergy test kits are rolling in Grab theses $ARYC cheap share before its to late! 
#pennystocks $coho… https://t.co/kLQJhieZ3V",FALSE,1,NA,5/25/2018 22:13,TRUE,NA,1.00014E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PSTClub1,0,FALSE,FALSE,NA,NA
114,"Omg 15,000,000 just hit the wire $phil is beast #glxx #gildex   
$siri $kshb $appl $amzn $ldsr $mine  $andi $uita… https://t.co/spYhB1Jqso",FALSE,0,NA,5/25/2018 21:54,TRUE,NA,1.00013E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",Vipervenom1981,0,FALSE,FALSE,NA,NA
115,"41 million #glxx just sold on #etherscan $phil is going platinum before June 1st. 
$siri $kshb $appl $amzn $ldsr… https://t.co/Z4akCJLphr",FALSE,0,NA,5/25/2018 21:51,TRUE,NA,1.00013E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",Vipervenom1981,0,FALSE,FALSE,NA,NA
116,"Overview of your stocks on the #iPhone. Supports all major stock exchanges, calculate P&amp;L (incl. fees &amp; dividends).… https://t.co/uxdOA3AZyy",FALSE,0,NA,5/25/2018 21:43,TRUE,NA,1.00013E+18,NA,"<a href=""https://twitter.com/bitcommander"" rel=""nofollow"">tweetliker_bit</a>",bitcommander,0,FALSE,FALSE,NA,NA
